rk,player,squad,nation,pos,primary_pos,age,ninetys,tag
95,Youssef Chermiti,Everton,POR,"FW,MF",FW,20,0.5,centroavante_goleador
96,Federico Chiesa,Liverpool,ITA,FW,FW,26,1.2,centroavante_goleador
97,Ben Chilwell,Crystal Palace,ENG,DF,DF,27,2.9,zagueiro_construtor
98,Chiquinho,Wolves,POR,MF,MF,24,0.1,meia_criativo
99,Hamza Choudhury,Leicester City,BAN,"MF,DF",MF,26,1.5,box_to_box
100,Ryan Christie,Bournemouth,SCO,MF,MF,29,23.5,meia_criativo
101,Harry Clarke,Ipswich Town,ENG,DF,DF,23,4.2,zagueiro_construtor
102,Jack Clarke,Ipswich Town,ENG,"FW,MF",FW,23,13.1,segundo_atacante
103,Nathaniel Clyne,Crystal Palace,ENG,"DF,MF",DF,33,5.4,zagueiro_construtor
104,Conor Coady,Leicester City,ENG,DF,DF,31,19.0,zagueiro_construtor
105,Séamus Coleman,Everton,IRL,DF,DF,35,2.4,zagueiro_construtor
106,Nathan Collins,Brentford,IRL,DF,DF,23,38.0,zagueiro_construtor
107,Toby Collyer,Manchester Utd,ENG,MF,MF,20,2.0,meia_criativo
108,Levi Colwill,Chelsea,ENG,DF,DF,21,35.0,zagueiro_construtor
109,Lewis Cook,Bournemouth,ENG,"MF,DF",MF,27,33.1,box_to_box
110,Maxwel Cornet,Southampton,CIV,FW,FW,27,0.8,centroavante_goleador
111,Vladimír Coufal,West Ham,CZE,DF,DF,31,11.9,zagueiro_construtor
112,Woyo Coulibaly,Leicester City,MLI,DF,DF,25,1.2,zagueiro_construtor
113,Aaron Cresswell,West Ham,ENG,DF,DF,34,9.2,zagueiro_construtor
114,Marc Cucurella,Chelsea,ESP,DF,DF,26,33.2,zagueiro_construtor
115,Jorge Cuenca,Fulham,ESP,DF,DF,24,3.9,zagueiro_construtor
116,Matheus Cunha,Wolves,BRA,"MF,FW",MF,25,28.9,box_to_box
117,Patson Daka,Leicester City,ZAM,"FW,MF",FW,25,8.2,centroavante_goleador
118,Diogo Dalot,Manchester Utd,POR,DF,DF,25,31.3,zagueiro_construtor
119,Mikkel Damsgaard,Brentford,DEN,"MF,FW",MF,24,32.3,meia_criativo
120,Danilo,Nott'ham Forest,BRA,"MF,FW",MF,23,3.1,box_to_box
121,Jayden Danns,Liverpool,ENG,MF,MF,18,0.1,box_to_box
122,Kevin Danso,Tottenham,AUT,DF,DF,25,9.4,zagueiro_construtor
123,Ben Davies,Tottenham,WAL,DF,DF,31,14.8,zagueiro_construtor
124,Leif Davis,Ipswich Town,ENG,DF,DF,24,30.5,zagueiro_construtor
125,Craig Dawson,Wolves,ENG,DF,DF,34,10.8,zagueiro_construtor
126,Kevin De Bruyne,Manchester City,BEL,"MF,FW",MF,33,18.9,meia_criativo
127,Bobby De Cordova-Reid,Leicester City,JAM,FW,FW,31,8.3,centroavante_goleador
128,Liam Delap,Ipswich Town,ENG,FW,FW,21,28.8,centroavante_goleador
129,Sepp van den Berg,Brentford,NED,DF,DF,22,28.7,zagueiro_construtor
130,Justin Devenny,Crystal Palace,NIR,MF,MF,20,5.6,box_to_box
131,Kiernan Dewsbury-Hall,Chelsea,ENG,"MF,FW",MF,25,2.9,box_to_box
132,Amad Diallo,Manchester Utd,CIV,"MF,FW",MF,22,21.1,box_to_box
133,Rúben Dias,Manchester City,POR,DF,DF,27,25.2,zagueiro_construtor
134,Luis Díaz,Liverpool,COL,FW,FW,27,26.7,centroavante_goleador
135,Tyler Dibling,Southampton,ENG,"FW,MF",FW,18,20.8,centroavante_goleador
136,Lucas Digne,Aston Villa,FRA,DF,DF,31,26.1,zagueiro_construtor
137,Issa Diop,Fulham,FRA,DF,DF,27,14.9,zagueiro_construtor
138,Axel Disasi,Aston Villa,FRA,DF,DF,26,5.4,zagueiro_construtor
139,Axel Disasi,Chelsea,FRA,DF,DF,26,4.0,zagueiro_construtor
140,Roman Dixon,Everton,ENG,DF,DF,19,1.0,zagueiro_construtor
141,Nasser Djiga,Wolves,BFA,DF,DF,21,0.7,zagueiro_construtor
142,Matt Doherty,Wolves,IRL,DF,DF,32,23.4,zagueiro_construtor
143,Jeremy Doku,Manchester City,BEL,"FW,MF",FW,22,16.8,centroavante_goleador
144,Nicolás Domínguez,Nott'ham Forest,ARG,"MF,FW",MF,26,21.8,meia_criativo
145,Patrick Dorgu,Manchester Utd,DEN,DF,DF,19,9.4,zagueiro_construtor
146,Alfie Dorrington,Tottenham,ENG,DF,DF,19,0.2,zagueiro_construtor
147,Abdoulaye Doucouré,Everton,MLI,MF,MF,31,28.5,box_to_box
148,Cheick Doucouré,Crystal Palace,MLI,MF,MF,24,5.0,box_to_box
149,Flynn Downes,Southampton,ENG,MF,MF,25,23.9,box_to_box
150,Tommy Doyle,Wolves,ENG,MF,MF,22,5.4,box_to_box
151,Radu Drăgușin,Tottenham,ROU,DF,DF,22,13.9,zagueiro_construtor
152,Martin Dúbravka,Newcastle Utd,SVK,GK,GK,35,10.0,goleiro_titular
153,Lewis Dunk,Brighton,ENG,DF,DF,32,23.1,zagueiro_construtor
154,Jáder Durán,Aston Villa,COL,FW,FW,20,7.1,centroavante_goleador
155,Claudio Echeverri,Manchester City,ARG,FW,FW,18,0.1,centroavante_goleador
156,Ederson,Manchester City,BRA,GK,GK,30,25.8,goleiro_titular
157,George Edmundson,Ipswich Town,ENG,DF,DF,26,0.0,zagueiro_classico
158,Odsonne Édouard,Crystal Palace,FRA,"MF,FW",MF,26,1.3,box_to_box
159,Odsonne Édouard,Leicester City,FRA,FW,FW,26,0.3,centroavante_goleador
160,Samuel Edozie,Southampton,ENG,"DF,FW",DF,21,0.7,zagueiro_construtor
161,Ronnie Edwards,Southampton,ENG,DF,DF,21,0.1,zagueiro_construtor
162,Anthony Elanga,Nott'ham Forest,SWE,"FW,MF",FW,22,27.8,centroavante_goleador
163,Harvey Elliott,Liverpool,ENG,MF,MF,21,4.1,meia_criativo
164,Yunus Emre Konak,Brentford,TUR,"FW,MF",FW,18,0.5,centroavante_goleador
165,Julio Enciso,Ipswich Town,PAR,"MF,FW",MF,20,9.7,box_to_box
166,Julio Enciso,Brighton,PAR,"MF,FW",MF,20,3.3,meia_criativo
167,Wataru Endo,Liverpool,JPN,"MF,DF",MF,31,3.0,meia_criativo
168,Christian Eriksen,Manchester Utd,DEN,MF,MF,32,11.8,meia_criativo
169,Romain Esse,Crystal Palace,ENG,MF,MF,19,1.5,box_to_box
170,Pervis Estupiñán,Brighton,ECU,DF,DF,26,26.7,zagueiro_construtor
171,Evanilson,Bournemouth,BRA,FW,FW,24,25.8,centroavante_goleador
172,Jake Evans,Leicester City,ENG,FW,FW,17,0.3,segundo_atacante
173,Jonny Evans,Manchester Utd,NIR,DF,DF,36,3.5,zagueiro_construtor
174,Eberechi Eze,Crystal Palace,ENG,"MF,FW",MF,26,28.8,box_to_box
175,Łukasz Fabiański,West Ham,POL,GK,GK,39,12.9,goleiro_titular
176,Wout Faes,Leicester City,BEL,DF,DF,26,31.3,zagueiro_construtor
177,Abdul Fatawu Issahaku,Leicester City,GHA,FW,FW,20,6.4,segundo_atacante
178,João Félix,Chelsea,POR,"FW,MF",FW,24,4.1,centroavante_goleador
179,Evan Ferguson,West Ham,IRL,FW,FW,19,1.7,centroavante_goleador
180,Evan Ferguson,Brighton,IRL,FW,FW,19,2.7,centroavante_goleador
181,Bruno Fernandes,Manchester Utd,POR,MF,MF,29,33.5,meia_criativo
182,Mateus Fernandes,Southampton,POR,MF,MF,20,32.3,box_to_box
183,Enzo Fernández,Chelsea,ARG,MF,MF,23,32.7,meia_criativo
184,Mark Flekken,Brentford,NED,GK,GK,31,36.4,goleiro_titular
185,Phil Foden,Manchester City,ENG,"MF,FW",MF,24,19.7,box_to_box
186,Wesley Fofana,Chelsea,FRA,DF,DF,23,13.0,zagueiro_construtor
187,Carlos Forbs,Wolves,POR,"MF,FW",MF,20,2.7,box_to_box
188,Fraser Forster,Tottenham,ENG,GK,GK,36,7.0,goleiro_titular
189,Matheus França,Crystal Palace,BRA,"MF,FW",MF,20,0.6,box_to_box
190,Ryan Fraser,Southampton,SCO,"FW,DF",FW,30,3.4,centroavante_goleador
191,Tyler Fredricson,Manchester Utd,ENG,DF,DF,19,1.8,zagueiro_construtor
192,Niclas Füllkrug,West Ham,GER,FW,FW,31,8.8,centroavante_goleador
193,Cody Gakpo,Liverpool,NED,FW,FW,25,21.5,centroavante_goleador
194,Idrissa Gana Gueye,Everton,SEN,MF,MF,34,34.0,box_to_box
195,Andrés García,Aston Villa,ESP,"DF,MF",DF,21,3.5,zagueiro_construtor
196,Alejandro Garnacho,Manchester Utd,ARG,"MF,FW",MF,20,24.4,meia_criativo
197,James Garner,Everton,ENG,"MF,DF",MF,23,17.7,box_to_box
198,Tyrique George,Chelsea,ENG,FW,FW,18,2.0,centroavante_goleador
199,Morgan Gibbs-White,Nott'ham Forest,ENG,MF,MF,24,31.1,box_to_box
200,Billy Gilmour,Brighton,SCO,MF,MF,23,1.1,box_to_box
201,Ben Godfrey,Ipswich Town,ENG,DF,DF,26,1.8,zagueiro_construtor
202,Martial Godo,Fulham,ENG,"FW,DF",FW,21,0.3,centroavante_goleador
203,Michael Golding,Leicester City,ENG,MF,MF,18,0.0,box_to_box
204,João Gomes,Wolves,BRA,MF,MF,23,33.0,box_to_box
205,Rodrigo Gomes,Wolves,POR,"DF,FW",DF,21,9.0,zagueiro_construtor
206,Toti Gomes,Wolves,POR,DF,DF,25,29.0,zagueiro_construtor
207,Diego Gómez,Brighton,PAR,MF,MF,21,5.7,box_to_box
208,Joe Gomez,Liverpool,ENG,DF,DF,27,5.8,zagueiro_construtor
209,Nicolás González,Manchester City,ESP,MF,MF,22,8.4,box_to_box
210,Anthony Gordon,Newcastle Utd,ENG,"FW,MF",FW,23,27.0,centroavante_goleador
211,Ryan Gravenberch,Liverpool,NED,MF,MF,22,35.1,meia_criativo
212,Archie Gray,Tottenham,ENG,"DF,MF",DF,18,19.5,zagueiro_construtor
213,Jack Grealish,Manchester City,ENG,"FW,MF",FW,28,8.0,centroavante_goleador
214,Jacob Greaves,Ipswich Town,ENG,DF,DF,23,24.5,zagueiro_construtor
215,Brajan Gruda,Brighton,GER,"MF,FW",MF,20,7.6,box_to_box
216,Albert Grønbaek,Southampton,DEN,"FW,MF",FW,23,1.6,centroavante_goleador
217,Gonçalo Guedes,Wolves,POR,"MF,FW",MF,27,11.1,box_to_box
218,Marc Guéhi,Crystal Palace,ENG,DF,DF,24,34.0,zagueiro_construtor
219,Luis Guilherme,West Ham,BRA,"MF,FW",MF,18,1.7,box_to_box
220,Bruno Guimarães,Newcastle Utd,BRA,MF,MF,26,36.3,box_to_box
221,Marc Guiu,Chelsea,ESP,FW,FW,18,0.8,centroavante_goleador
222,İlkay Gündoğan,Manchester City,GER,MF,MF,33,24.7,meia_criativo
223,Malo Gusto,Chelsea,FRA,DF,DF,21,20.7,zagueiro_construtor
224,Joško Gvardiol,Manchester City,CRO,DF,DF,22,36.4,zagueiro_construtor
225,Erling Haaland,Manchester City,NOR,FW,FW,24,30.4,centroavante_goleador
226,Lewis Hall,Newcastle Utd,ENG,DF,DF,19,24.3,zagueiro_construtor
227,Ali Al Hamadi,Ipswich Town,IRQ,FW,FW,22,1.5,centroavante_goleador
228,Marcus Harness,Ipswich Town,ENG,MF,MF,28,0.5,box_to_box
229,Jack Harrison,Everton,ENG,FW,FW,27,23.1,centroavante_goleador
230,Taylor Harwood-Bellis,Southampton,ENG,DF,DF,22,31.4,zagueiro_construtor
231,Kai Havertz,Arsenal,GER,"FW,MF",FW,25,20.8,centroavante_goleador
232,Ayden Heaven,Manchester Utd,ENG,DF,DF,17,1.9,zagueiro_construtor
233,Jan Paul van Hecke,Brighton,NED,DF,DF,24,32.9,zagueiro_construtor
234,Hwang Hee-chan,Wolves,KOR,"MF,FW",MF,28,7.3,box_to_box
235,Dean Henderson,Crystal Palace,ENG,GK,GK,27,38.0,goleiro_titular
236,Rico Henry,Brentford,ENG,DF,DF,27,1.1,zagueiro_construtor
237,Mads Hermansen,Leicester City,DEN,GK,GK,24,26.5,goleiro_titular
238,Son Heung-min,Tottenham,KOR,FW,FW,32,23.4,centroavante_goleador
239,James Hill,Bournemouth,ENG,DF,DF,22,5.0,zagueiro_construtor
240,Jack Hinshelwood,Brighton,ENG,"MF,DF",MF,19,20.5,box_to_box
241,George Hirst,Ipswich Town,SCO,FW,FW,25,7.3,centroavante_goleador
242,Mason Holgate,Everton,JAM,"FW,DF",FW,27,0.1,centroavante_goleador
243,Harry Howell,Brighton,ENG,FW,FW,15,0.1,centroavante_goleador
244,Callum Hudson-Odoi,Nott'ham Forest,ENG,"FW,MF",FW,23,24.4,centroavante_goleador
245,Will Hughes,Crystal Palace,ENG,MF,MF,29,23.4,meia_criativo
246,Dean Huijsen,Bournemouth,ESP,DF,DF,19,27.0,zagueiro_construtor
247,Omari Hutchinson,Ipswich Town,ENG,"MF,FW",MF,20,28.7,box_to_box
248,Rasmus Højlund,Manchester Utd,DEN,FW,FW,21,22.3,centroavante_goleador
249,Igor,Brighton,BRA,DF,DF,26,10.7,zagueiro_construtor
250,Danny Ings,West Ham,ENG,"FW,MF",FW,32,3.2,centroavante_goleador
251,Tim Iroegbunam,Everton,ENG,MF,MF,21,6.4,box_to_box
252,Andy Irving,West Ham,SCO,MF,MF,24,1.8,meia_criativo
253,Alexander Isak,Newcastle Utd,SWE,FW,FW,24,30.6,centroavante_goleador
254,Alex Iwobi,Fulham,NGA,"FW,MF",FW,28,33.1,segundo_atacante
255,Nicolas Jackson,Chelsea,SEN,FW,FW,23,24.7,centroavante_goleador
256,Reece James,Chelsea,ENG,"DF,MF",DF,24,11.8,zagueiro_construtor
257,Vitaly Janelt,Brentford,GER,MF,MF,26,25.0,meia_criativo
258,Vitezslav Jaros,Liverpool,CZE,GK,GK,23,0.1,goleiro_reserva
259,Daniel Jebbison,Bournemouth,CAN,FW,FW,20,1.3,centroavante_goleador
260,Mathias Jensen,Brentford,DEN,MF,MF,28,9.6,meia_criativo
261,Gabriel Jesus,Arsenal,BRA,FW,FW,27,6.8,centroavante_goleador
262,Raúl Jiménez,Fulham,MEX,FW,FW,33,27.7,centroavante_goleador
263,Kim Jisoo,Brentford,KOR,DF,DF,19,0.3,zagueiro_construtor
264,João Pedro,Brighton,BRA,"FW,MF",FW,22,21.6,centroavante_goleador
265,Joelinton,Newcastle Utd,BRA,"MF,FW",MF,27,26.6,meia_criativo
266,Ben Johnson,Ipswich Town,ENG,"DF,FW",DF,24,15.0,zagueiro_construtor
267,Brennan Johnson,Tottenham,WAL,FW,FW,23,24.2,centroavante_goleador
268,Sam Johnstone,Wolves,ENG,GK,GK,31,7.0,goleiro_titular
269,Curtis Jones,Liverpool,ENG,"MF,DF",MF,23,19.0,box_to_box
270,Jorginho,Arsenal,ITA,MF,MF,32,7.8,meia_criativo
271,Diogo Jota,Liverpool,POR,FW,FW,27,13.3,centroavante_goleador
272,James Justin,Leicester City,ENG,DF,DF,26,32.4,zagueiro_construtor
273,Filip Jørgensen,Chelsea,DEN,GK,GK,22,6.0,goleiro_titular
274,Ferdi Kadioglu,Brighton,TUR,"DF,MF",DF,24,4.3,zagueiro_construtor
275,Daichi Kamada,Crystal Palace,JPN,MF,MF,27,17.4,meia_criativo
276,Boubacar Kamara,Aston Villa,FRA,MF,MF,24,19.2,box_to_box
277,Joachim Kayi Sanda,Southampton,FRA,DF,DF,17,0.2,zagueiro_construtor
278,Michael Kayode,Brentford,ITA,DF,DF,20,5.9,zagueiro_construtor
279,Michael Keane,Everton,ENG,DF,DF,31,11.7,zagueiro_construtor
280,Caoimhín Kelleher,Liverpool,IRL,GK,GK,25,10.0,goleiro_titular
281,Lloyd Kelly,Newcastle Utd,ENG,DF,DF,25,3.4,zagueiro_construtor
282,Milos Kerkez,Bournemouth,HUN,DF,DF,20,37.1,zagueiro_construtor
283,Bilal El Khannouss,Leicester City,MAR,"MF,FW",MF,20,24.2,box_to_box
284,Abdukodir Khusanov,Manchester City,UZB,DF,DF,20,5.6,zagueiro_construtor
285,Max Kilman,West Ham,ENG,DF,DF,27,37.2,zagueiro_construtor
286,Joshua King,Fulham,ENG,MF,MF,17,1.4,box_to_box
287,Tom King,Wolves,WAL,GK,GK,29,0.0,goleiro_reserva
288,Antonín Kinský,Tottenham,CZE,GK,GK,21,6.0,goleiro_titular
289,Jakub Kiwior,Arsenal,POL,DF,DF,24,12.5,zagueiro_construtor
290,Justin Kluivert,Bournemouth,NED,MF,MF,25,26.0,box_to_box
291,Ibrahima Konaté,Liverpool,FRA,DF,DF,25,28.4,zagueiro_construtor
292,Ezri Konsa,Aston Villa,ENG,DF,DF,26,32.6,zagueiro_construtor
293,Mateo Kovačić,Manchester City,CRO,MF,MF,30,24.4,meia_criativo
294,Caleb Kporha,Crystal Palace,ENG,DF,DF,18,0.1,zagueiro_construtor
295,Emil Krafth,Newcastle Utd,SWE,DF,DF,29,3.8,zagueiro_construtor
296,Mohammed Kudus,West Ham,GHA,"FW,MF",FW,23,28.8,centroavante_goleador
297,Dejan Kulusevski,Tottenham,SWE,"MF,FW",MF,24,26.5,meia_criativo
298,Maxence Lacroix,Crystal Palace,FRA,DF,DF,24,34.6,zagueiro_construtor
299,Adam Lallana,Southampton,ENG,MF,MF,36,4.0,meia_criativo
300,Tariq Lamptey,Brighton,GHA,DF,DF,23,9.6,zagueiro_construtor
301,Will Lankshear,Tottenham,ENG,"FW,MF",FW,19,0.1,centroavante_goleador
302,Roméo Lavia,Chelsea,BEL,MF,MF,20,8.9,meia_criativo
303,Mario Lemina,Wolves,GAB,"MF,DF",MF,30,15.2,box_to_box
304,Bernd Leno,Fulham,GER,GK,GK,32,38.0,goleiro_titular
305,Jefferson Lerma,Crystal Palace,COL,"MF,DF",MF,29,25.3,box_to_box
306,Rico Lewis,Manchester City,ENG,"DF,MF",DF,19,21.0,zagueiro_construtor
307,Keane Lewis-Potter,Brentford,ENG,"DF,FW",DF,23,34.4,zagueiro_construtor
308,Myles Lewis-Skelly,Arsenal,ENG,DF,DF,17,15.2,zagueiro_construtor
309,Matthijs de Ligt,Manchester Utd,NED,DF,DF,24,23.6,zagueiro_construtor
310,Pedro Lima,Wolves,BRA,DF,DF,18,0.8,zagueiro_construtor
311,Victor Lindelöf,Manchester Utd,SWE,DF,DF,30,7.8,zagueiro_construtor
312,Jesper Lindstrøm,Everton,DEN,FW,FW,24,13.8,segundo_atacante
313,Valentino Livramento,Newcastle Utd,ENG,DF,DF,21,31.6,zagueiro_construtor
314,Sean Longstaff,Newcastle Utd,ENG,MF,MF,26,8.9,box_to_box
315,Saša Lukić,Fulham,SRB,MF,MF,27,26.0,meia_criativo
316,Joe Lumley,Southampton,ENG,GK,GK,29,3.0,goleiro_titular
317,Massimo Luongo,Ipswich Town,AUS,MF,MF,31,2.2,box_to_box
318,Ian Maatsen,Aston Villa,NED,DF,DF,22,12.7,zagueiro_construtor
319,Alexis Mac Allister,Liverpool,ARG,MF,MF,25,28.9,meia_criativo
320,James Maddison,Tottenham,ENG,MF,MF,27,20.1,meia_criativo
321,Noni Madueke,Chelsea,ENG,FW,FW,22,22.6,centroavante_goleador
322,Gabriel Magalhães,Arsenal,BRA,DF,DF,26,26.3,zagueiro_construtor
323,Edmond-Paris Maghoma,Brentford,ENG,"MF,FW",MF,23,1.3,meia_criativo
324,Harry Maguire,Manchester Utd,ENG,DF,DF,31,19.5,zagueiro_construtor
325,Kobbie Mainoo,Manchester Utd,ENG,MF,MF,19,18.3,box_to_box
326,Tyrell Malacia,Manchester Utd,NED,DF,DF,24,1.1,zagueiro_construtor
327,Donyell Malen,Aston Villa,NED,FW,FW,25,3.4,centroavante_goleador
