rk,player,squad,status,page_title,description,image_url,file
28,Michail Antonio,West Ham,ok,Michail Antonio,Footballer (born 1990),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Hertha_BSC_vs._West_Ham_United_20190731_%28186%29.jpg/500px-Hertha_BSC_vs._West_Ham_United_20190731_%28186%29.jpg,
29,Antony,Manchester Utd,ok,"Antony (footballer, born 2000)",Brazilian footballer (born 2000),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Antony_2022.jpg/500px-Antony_2022.jpg,
30,Julian Araujo,Bournemouth,ok,Julián Araujo,Mexican footballer (born 2001),https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/D%27esquerra_a_dreta%2C_Juli%C3%A1n_Araujo_i_Marc_Casad%C3%B3%2C_jugadors_del_FCBarcelona_durant_la_gira_de_pretemporada_a_EUA._%2805-08-2024%29_%28cropped2%29.jpg/500px-D%27esquerra_a_dreta%2C_Juli%C3%A1n_Araujo_i_Marc_Casad%C3%B3%2C_jugadors_del_FCBarcelona_durant_la_gira_de_pretemporada_a_EUA._%2805-08-2024%29_%28cropped2%29.jpg,
31,Cameron Archer,Southampton,ok,Cameron Archer,English footballer (born 2001),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Cameron_Archer_221202024.jpg/500px-Cameron_Archer_221202024.jpg,
32,Alphonse Areola,West Ham,ok,Alphonse Areola,French footballer (born 1993),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/2019-07-17_SG_Dynamo_Dresden_vs._Paris_Saint-Germain_by_Sandro_Halank%E2%80%93011_%28cropped%29.jpg/500px-2019-07-17_SG_Dynamo_Dresden_vs._Paris_Saint-Germain_by_Sandro_Halank%E2%80%93011_%28cropped%29.jpg,
33,Joe Aribo,Southampton,ok,Joe Aribo,Nigerian footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Joe_Aribo_-_Rangers_v_Malmo_2021.jpg/500px-Joe_Aribo_-_Rangers_v_Malmo_2021.jpg,
34,Adam Armstrong,Southampton,ok,Adam Armstrong (footballer),English footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/9/9d/Southampton_Starting_Eleven_22112025_%281%29_%28cropped_Adam_Armstrong%29.jpg,
35,Harrison Armstrong,Everton,no_photo,Harrison Armstrong (footballer),English footballer,,
36,Kepa Arrizabalaga,Bournemouth,ok,Kepa Arrizabalaga,Spanish footballer (born 1994),https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Kepa.jpg/500px-Kepa.jpg,
37,Marco Asensio,Aston Villa,ok,Marco Asensio,Spanish footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Marco_Asensio_2018.jpg/500px-Marco_Asensio_2018.jpg,
38,Brandon Austin,Tottenham,ok,Brandon Austin,Soccer player (born 1999),https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Brandon_Austin_in_training_25-08-2019.jpeg/500px-Brandon_Austin_in_training_25-08-2019.jpeg,
39,Taiwo Awoniyi,Nott'ham Forest,ok,Taiwo Awoniyi,Nigerian footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/2022-04-20_Fu%C3%9Fball%2C_M%C3%A4nner%2C_DFB-Pokal%2C_RB_Leipzig_-_1._FC_Union_Berlin_1DX_8274_by_Stepro.jpg/500px-2022-04-20_Fu%C3%9Fball%2C_M%C3%A4nner%2C_DFB-Pokal%2C_RB_Leipzig_-_1._FC_Union_Berlin_1DX_8274_by_Stepro.jpg,
40,Yasin Ayari,Brighton,ok,Yasin Ayari,Swedish footballer (born 2003),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Yasin_Ayari_-_Sweden_-_Greece20_%28cropped%29.jpg/500px-Yasin_Ayari_-_Sweden_-_Greece20_%28cropped%29.jpg,
41,Jordan Ayew,Crystal Palace,ok,Jordan Ayew,Ghanaian footballer (born 1991),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Jordan_Ayew_24082024_%282%29.jpg/500px-Jordan_Ayew_24082024_%282%29.jpg,
42,Jordan Ayew,Leicester City,ok,Jordan Ayew,Ghanaian footballer (born 1991),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Jordan_Ayew_24082024_%282%29.jpg/500px-Jordan_Ayew_24082024_%282%29.jpg,
43,Benoît Badiashile,Chelsea,ok,Benoît Badiashile,French footballer (born 2001),https://upload.wikimedia.org/wikipedia/commons/2/2f/Beno%C3%AEt_Badiashile_FIFA_Club_World_Cup_final_extraction.jpg,
44,Leon Bailey,Aston Villa,ok,Leon Bailey,Jamaican footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Leon_Bailey_bei_der_Saisoneroeffnung_August_2018.jpg/500px-Leon_Bailey_bei_der_Saisoneroeffnung_August_2018.jpg,
45,Carlos Baleba,Brighton,ok,Carlos Baleba,Cameroonian footballer (born 2004),https://upload.wikimedia.org/wikipedia/commons/0/09/Carlos_Baleba_2026.jpg,
46,Ross Barkley,Aston Villa,ok,Ross Barkley,English footballer (born 1993),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Ross_Barkley_in_2019.jpg/500px-Ross_Barkley_in_2019.jpg,
47,Harvey Barnes,Newcastle Utd,ok,Harvey Barnes,English footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Harvey_Barnes_2022_%28cropped%29.jpg/500px-Harvey_Barnes_2022_%28cropped%29.jpg,
48,Calvin Bassey,Fulham,ok,Calvin Bassey,Nigerian footballer (born 1999),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Calvin_Bassey_01112025_%281%29.jpg/500px-Calvin_Bassey_01112025_%281%29.jpg,
49,Altay Bayındır,Manchester Utd,ok,Altay Bayındır,Turkish footballer (born 1998),https://upload.wikimedia.org/wikipedia/commons/d/dd/Altay_Bayindir_%28cropped%29.jpg,
50,Jan Bednarek,Southampton,ok,Jan Bednarek,Polish footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Jan_Bednarek_22122024_%28cropped%29.jpg/500px-Jan_Bednarek_22122024_%28cropped%29.jpg,
51,Armel Bella Kotchap,Southampton,no_photo,Armel Bella-Kotchap,German footballer (born 2001),,
52,Jean-Ricner Bellegarde,Wolves,ok,Jean-Ricner Bellegarde,Haitian footballer (born 1998),https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Lens_B_-_AC_Amiens_%2812-09-2015%29_64_%28cropped%29.JPG/500px-Lens_B_-_AC_Amiens_%2812-09-2015%29_64_%28cropped%29.JPG,
53,Rodrigo Bentancur,Tottenham,ok,Rodrigo Bentancur,Uruguayan footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/20171114_AUT_URU_4518_-_Rodrigo_Bentancur_%28cropped%29_2.jpg/500px-20171114_AUT_URU_4518_-_Rodrigo_Bentancur_%28cropped%29_2.jpg,
54,Daniel Bentley,Wolves,ok,Dan Bentley (footballer),English footballer (born 1993),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Dan_Bentley_01112025_%283%29.jpg/500px-Dan_Bentley_01112025_%283%29.jpg,
55,Sander Berge,Fulham,ok,Sander Berge,Norwegian footballer (born 1998),https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Norway_Italy_-_June_2025_E_25_%28cropped%29.jpg/500px-Norway_Italy_-_June_2025_E_25_%28cropped%29.jpg,
56,Lucas Bergvall,Tottenham,ok,Lucas Bergvall,Swedish footballer (born 2006),https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Sweden_-_Greece6_%28cropped%29.jpg/500px-Sweden_-_Greece6_%28cropped%29.jpg,
57,Victor Bernth Kristiansen,Leicester City,ok,Victor Kristiansen,Danish footballer (born 2002),https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Victor_Kristiansen_24082024_%283%29_%28cropped%29.jpg/500px-Victor_Kristiansen_24082024_%283%29_%28cropped%29.jpg,
58,Beto,Everton,ok,"Beto (footballer, born 1998)",Bissau-Guinean footballer (born 1998),https://upload.wikimedia.org/wikipedia/commons/1/1c/Fulham_v_Everton_10052025_%287%29_%28Beto%29.jpg,
59,Philip Billing,Bournemouth,ok,Philip Billing,Danish footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Philip_Billing_2019.png/500px-Philip_Billing_2019.png,
60,Yves Bissouma,Tottenham,ok,Yves Bissouma,Footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Bissouma_2018.jpg/500px-Bissouma_2018.jpg,
61,Oscar Bobb,Manchester City,ok,Oscar Bobb,Norwegian footballer (born 2003),https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/ManCity20240722-050_%28Oscar_Bobb2%29.jpg/500px-ManCity20240722-050_%28Oscar_Bobb2%29.jpg,
62,Lamare Bogarde,Aston Villa,ok,Lamare Bogarde,Dutch footballer (born 2004),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Lamare_Bogarde_July_2025.jpg/500px-Lamare_Bogarde_July_2025.jpg,
63,Willy Boly,Nott'ham Forest,ok,Willy Boly,Ivorian footballer (born 1991),https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Willy_Boly%2C_Nottingham_Forest%2C_2025_%28cropped%29.jpg/500px-Willy_Boly%2C_Nottingham_Forest%2C_2025_%28cropped%29.jpg,
64,Sven Botman,Newcastle Utd,ok,Sven Botman,Dutch footballer (born 2000),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Sven_Botman_24052026_%286%29_%28cropped%29.jpg/500px-Sven_Botman_24052026_%286%29_%28cropped%29.jpg,
65,Jarrod Bowen,West Ham,ok,Jarrod Bowen,English footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/JarrodBowen2023_%28cropped%29.jpeg/500px-JarrodBowen2023_%28cropped%29.jpeg,
66,Conor Bradley,Liverpool,ok,Conor Bradley,Northern Irish footballer (born 2003),https://upload.wikimedia.org/wikipedia/commons/a/a8/Conor_Bradley_in_2021.jpg,
67,Jarrad Branthwaite,Everton,ok,Jarrad Branthwaite,English footballer (born 2002),https://upload.wikimedia.org/wikipedia/commons/8/86/Celebration%21_%2854493257432%29_%28Jarrad_Branthwaite%29.jpg,
68,James Bree,Southampton,ok,James Bree (footballer),English footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/James_Bree_22122024_%282%29.jpg/500px-James_Bree_22122024_%282%29.jpg,
69,Ben Brereton,Southampton,ok,Ben Brereton Díaz,English footballer (born 1999),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Ben_Brereton_D%C3%ADaz_25042026_%289%29.jpg/500px-Ben_Brereton_D%C3%ADaz_25042026_%289%29.jpg,
70,Nathan Broadhead,Ipswich Town,ok,Nathan Broadhead,Welsh footballer (born 1998),https://upload.wikimedia.org/wikipedia/commons/9/98/Nathan_Broadhead_%28cropped%29.jpg,
71,Armando Broja,Everton,ok,Armando Broja,Albanian footballer (born 2001),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Armando_Broja_29112025_%282%29.jpg/500px-Armando_Broja_29112025_%282%29.jpg,
72,David Brooks,Bournemouth,ok,David Brooks (footballer),Wales international footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/David_Brooks_in_2024.png/500px-David_Brooks_in_2024.png,
73,Emi Buendía,Aston Villa,ok,Emiliano Buendía,Argentine footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Emilano_Buendia_April_2026_%28cropped%29.jpg/500px-Emilano_Buendia_April_2026_%28cropped%29.jpg,
74,Santiago Bueno,Wolves,ok,Santiago Bueno,Uruguayan footballer (born 1998),https://upload.wikimedia.org/wikipedia/commons/a/ac/Santiago_Bueno.png,
75,Facundo Buonanotte,Leicester City,no_photo,Facundo Buonanotte,Argentine footballer (born 2004),,
76,Cameron Burgess,Ipswich Town,ok,Cameron Burgess,Australian soccer player (born 1995),https://upload.wikimedia.org/wikipedia/commons/9/9a/Cameron_Burgess_%28cropped%29.jpg,
77,Dan Burn,Newcastle Utd,ok,Dan Burn,English footballer (born 1992),https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Dan_Burn_24052026_%287%29.jpg/500px-Dan_Burn_24052026_%287%29.jpg,
78,Wes Burns,Ipswich Town,ok,Wes Burns,Welsh footballer,https://upload.wikimedia.org/wikipedia/commons/f/fc/Wes_Burns_2_%28cropped%29.jpg,
79,Nathan Butler-Oyedeji,Arsenal,no_photo,Nathan Butler-Oyedeji,English footballer (born 2003),,
80,Moisés Caicedo,Chelsea,ok,Moisés Caicedo,Ecuadorian footballer (born 2001),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Moises_Caicedo_Cote_D%27Ivoire_v_Ecuador_14_June_2026-43_%28cropped%29.jpg/500px-Moises_Caicedo_Cote_D%27Ivoire_v_Ecuador_14_June_2026-43_%28cropped%29.jpg,
81,Tom Cairney,Fulham,ok,Tom Cairney,Scottish footballer (born 1991),https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Tom_Cairney_20042025_%283%29.jpg/500px-Tom_Cairney_20042025_%283%29.jpg,
82,Jens Cajuste,Ipswich Town,ok,Jens Cajuste,Swedish footballer (born 1999),https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Jens_Cajuste.png/500px-Jens_Cajuste.png,
83,Riccardo Calafiori,Arsenal,ok,Riccardo Calafiori,Italian footballer (born 2002),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/2024_Emirates_Cup_-_Riccardo_Calafiori_%282%29_%28cropped%29.jpg/500px-2024_Emirates_Cup_-_Riccardo_Calafiori_%282%29_%28cropped%29.jpg,
84,Dominic Calvert-Lewin,Everton,ok,Dominic Calvert-Lewin,English footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Dominic_Calvert-Lewin_13092025_%285%29.jpg/500px-Dominic_Calvert-Lewin_13092025_%285%29.jpg,
85,Diego Carlos,Aston Villa,ok,"Diego Carlos (footballer, born 1993)",Brazilian footballer (born 1993),https://upload.wikimedia.org/wikipedia/commons/5/5a/Diego_Carlos_2020_%28cropped%29.jpg,
86,Fabio Carvalho,Brentford,ok,"Fábio Carvalho (footballer, born 2002)",Portuguese footballer,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/2022-07-21_Fabio_Carvalho_%28cropped%29.jpg/500px-2022-07-21_Fabio_Carvalho_%28cropped%29.jpg,
87,Casemiro,Manchester Utd,ok,Casemiro,Brazilian footballer (born 1992),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Casemiro_Brazil_V_Morocco_13_June_2026-76_%28cropped%29.jpg/500px-Casemiro_Brazil_V_Morocco_13_June_2026-76_%28cropped%29.jpg,
88,Kaelan Casey,West Ham,ok,Kaelan Casey,English footballer (born 2004),https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Kaelan_Casey_06042026_%288%29.jpg/500px-Kaelan_Casey_06042026_%288%29.jpg,
89,Matty Cash,Aston Villa,ok,Matty Cash,Footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/2/23/Cashfan_%28cropped%29_%282%29.jpg,
90,Eiran Cashin,Brighton,ok,Eiran Cashin,Irish footballer (born 2001),https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Eiran_Cashin_14032026_%282%29.jpg/500px-Eiran_Cashin_14032026_%282%29.jpg,
91,Timothy Castagne,Fulham,ok,Timothy Castagne,Belgian footballer (born 1995),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Timothy_Castagne_USMNT_v_Belgium_Mar_28_2026-17_%28cropped%29.jpg/500px-Timothy_Castagne_USMNT_v_Belgium_Mar_28_2026-17_%28cropped%29.jpg,
92,Trevoh Chalobah,Crystal Palace,ok,Trevoh Chalobah,English footballer (born 1999),https://upload.wikimedia.org/wikipedia/commons/b/b0/Trevor_Chalobah_FIFA_Club_World_Cup_final_extraction.jpg,
93,Trevoh Chalobah,Chelsea,ok,Trevoh Chalobah,English footballer (born 1999),https://upload.wikimedia.org/wikipedia/commons/b/b0/Trevor_Chalobah_FIFA_Club_World_Cup_final_extraction.jpg,
94,Conor Chaplin,Ipswich Town,ok,Conor Chaplin,English footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Conor_Chaplin_040524.jpg/500px-Conor_Chaplin_040524.jpg,
95,Youssef Chermiti,Everton,no_photo,Youssef Chermiti,Portuguese footballer (born 2004),,
96,Federico Chiesa,Liverpool,ok,Federico Chiesa,Italian footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Federico_Chiesa_vs_Zenit_2021-10-20_%28cropped2%29.jpg/500px-Federico_Chiesa_vs_Zenit_2021-10-20_%28cropped2%29.jpg,
97,Ben Chilwell,Crystal Palace,ok,Ben Chilwell,English footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/1/1a/Ben_Chilwell_2020.jpg,
98,Chiquinho,Wolves,ok,"Chiquinho (footballer, born 1995)",Portuguese footballer,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Chiquinho%2C_SLB_2023.png/500px-Chiquinho%2C_SLB_2023.png,
99,Hamza Choudhury,Leicester City,ok,Hamza Choudhury,Bangladeshi footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Hamza_Choudhury_23082025_%28portrait%29.jpg/500px-Hamza_Choudhury_23082025_%28portrait%29.jpg,
100,Ryan Christie,Bournemouth,ok,Ryan Christie,Scottish footballer (born 1995),https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ryan_Christie_Bournemouth_%28cropped%29.png/500px-Ryan_Christie_Bournemouth_%28cropped%29.png,
101,Harry Clarke,Ipswich Town,ok,"Harry Clarke (footballer, born 2001)",English footballer,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Harry_Clarke_07032026_%281%29.jpg/500px-Harry_Clarke_07032026_%281%29.jpg,
102,Jack Clarke,Ipswich Town,ok,"Jack Clarke (footballer, born 2000)",English footballer,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Jack_Clarke.jpg/500px-Jack_Clarke.jpg,
103,Nathaniel Clyne,Crystal Palace,ok,Nathaniel Clyne,English footballer (born 1991),https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Nathaniel_Clyne_2018_%28cropped%29.jpg/500px-Nathaniel_Clyne_2018_%28cropped%29.jpg,
104,Conor Coady,Leicester City,ok,Conor Coady,English footballer (born 1993),https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Conor_Coady_30082025_%281%29.jpg/500px-Conor_Coady_30082025_%281%29.jpg,
105,Séamus Coleman,Everton,ok,Séamus Coleman,Irish footballer (born 1988),https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Nair_Tiknizyan%2C_Seamus_Coleman%2C_Festy_Ebosele_YantsImages_-_Asatur_Yesayants_668_%28cropped%29.jpg/500px-Nair_Tiknizyan%2C_Seamus_Coleman%2C_Festy_Ebosele_YantsImages_-_Asatur_Yesayants_668_%28cropped%29.jpg,
106,Nathan Collins,Brentford,ok,Nathan Collins,Irish footballer (born 2001),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Nathan_Collins_02082025_%284%29.jpg/500px-Nathan_Collins_02082025_%284%29.jpg,
107,Toby Collyer,Manchester Utd,ok,Toby Collyer,English footballer (born 2004),https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Toby_Collyer_04102025_%281%29.jpg/500px-Toby_Collyer_04102025_%281%29.jpg,
108,Levi Colwill,Chelsea,ok,Levi Colwill,English footballer (born 2003),https://upload.wikimedia.org/wikipedia/commons/d/d1/Levi_Colwill_FIFA_Club_World_Cup_final_extraction.jpg,
109,Lewis Cook,Bournemouth,ok,"Lewis Cook (footballer, born 1997)",English footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Lewis_Cook_29122024_%282%29.jpg/500px-Lewis_Cook_29122024_%282%29.jpg,
110,Maxwel Cornet,Southampton,ok,Maxwel Cornet,Ivorian footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Cornet_West_Ham.jpeg/500px-Cornet_West_Ham.jpeg,
111,Vladimír Coufal,West Ham,ok,Vladimír Coufal,Czech footballer (born 1992),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Vladim%C3%ADr_Coufal_with_West_Ham_United.jpeg/500px-Vladim%C3%ADr_Coufal_with_West_Ham_United.jpeg,
112,Woyo Coulibaly,Leicester City,no_photo,Woyo Coulibaly,Malian footballer (born 1999),,
113,Aaron Cresswell,West Ham,ok,Aaron Cresswell,English footballer (born 1989),https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Hertha_BSC_vs._West_Ham_United_20190731_%28124%29_%28cropped%29.jpg/500px-Hertha_BSC_vs._West_Ham_United_20190731_%28124%29_%28cropped%29.jpg,
114,Marc Cucurella,Chelsea,ok,Marc Cucurella,Spanish footballer (born 1998),https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Spain_football_team_in_202_%28Marc_Cucurella%29.jpg/500px-Spain_football_team_in_202_%28Marc_Cucurella%29.jpg,
